nilai_hujan_max,tempoh_hujan,tempoh_ulang,latitude,longitude
145,36,"NORMA
L",6.0707,102.0378
145,36,"NORMA
L",6.0386,101.9949
145,36,"NORMA
L",6.0038,101.974
145,36,"NORMA
L",5.9974,101.9726
25,1,NORMAL,6.0165,101.9758
145,36,"NORMA
L",6.0255,101.9793
186,24,3,6.0274,101.9809
186,24,3,6.0685,102.0657
145,36,"NORMA
L",6.0071,102.0363
145,36,"NORMA
L",5.9685,102.0142
30.5,6,"NORMA
L",6.053,102.0268
145,36,"NORMA
L",6.0527,102.0243
145,36,"NORMA
L",6.0333,102.0363
145,36,"NORMA
L",6.0542,102.0479
57,5,"NORMA
L",6.0601,102.0489
145,36,"NORMA
L",6.0385,102.0563
145,36,"NORMA
L",6.0233,102.0692
145,36,"NORMA
L",6.0169,102.0722
145,36,"NORMA
L",6.0158,102.0854
57,5,"NORMA
L",6.0563,102.0551
145,36,"NORMA
L",6.1128,102.0833
145,36,"NORMA
L",6.1175,102.0778
57,5,"NORMA
L",6.0943,102.0821
57,5,"NORMA
L",6.1242,102.0871
57,5,"NORMA
L",6.1388,102.1025
57,5,"NORMA
L",6.112,102.1039
145,36,"NORMA
L",6.078,102.0533
145,36,"NORMA
L",6.0386,101.9949
145,36,"NORMA
L",5.9685,102.0142
30.5,6,"NORMA
L",6.053,102.0268
145,36,"NORMA
L",6.0527,102.0243
145,36,"NORMA
L",6.0333,102.0363
145,36,"NORMA
L",6.0542,102.0479
57,5,"NORMA
L",6.0601,102.0489
145,36,"NORMA
L",6.0385,102.0563
145,36,"NORMA
L",6.0233,102.0692
145,36,"NORMA
L",6.0169,102.0722
145,36,"NORMA
L",6.0158,102.0854
57,5,"NORMA
L",6.0563,102.0551
145,36,"NORMA
L",6.0415,102.0545
145,36,"NORMA
L",6.0227,102.0823
145,36,"NORMA
L",5.9925,102.1049
145,36,"NORMA
L",6.033,102.0661
108.5,1.5,38,6.005,102.0955
57,5,"NORMA
L",6.0104,102.102
145,36,"NORMA
L",6.1128,102.0833
145,36,"NORMA
L",6.1175,102.0778
57,5,"NORMA
L",6.0943,102.0821
57,5,"NORMA
L",6.1242,102.0871
57,5,"NORMA
L",6.1388,102.1025
57,5,"NORMA
L",6.112,102.1039
145,36,"NORMA
L",6.078,102.0533
145,36,"NORMA
L",6.0386,101.9949
145,36,"NORMA
L",6.0779,102.0566
108.5,1.5,38,6.0763,102.0569
145,36,"NORMA
L",6.0221,102.0131
145,36,"NORMA
L",6.0707,102.0378
145,36,"NORMA
L",6.0038,101.974
145,36,"NORMA
L",5.9974,101.9726
145,36,"NORMA
L",6.0185,101.9738
145,36,"NORMA
L",6.0255,101.9793
186,24,3,6.0274,101.9809
186,24,3,6.0685,102.0657
145,36,"NORMA
L",5.955,101.9453
145,36,"NORMA
L",5.9932,101.9598
145,36,"NORMA
L",5.9861,101.9515
145,36,"NORMA
L",5.9771,101.9517
186,24,3,5.8968,101.9377
145,36,"NORMA
L",5.9209,101.9323
186,24,3,6.0772,102.0836
145,36,"NORMA
L",6.0738,102.0753
145,36,"NORMA
L",5.9897,101.9586
145,36,"NORMA
L",5.9545,101.9662
145,36,"NORMA
L",6.0115,101.9827
145,36,"NORMA
L",5.9685,102.0142
186,24,3,5.9378,102.0082
145,36,"NORMA
L",6.0071,102.0363
186,24,3,5.9916,102.0381
186,24,3,5.9004,102.0361
186,24,3,5.936,102.0123
108.5,1.5,38,5.9877,102.0302
186,24,3,5.9565,102.0463
186,24,3,5.9411,102.12
186,24,3,5.9111,102.1255
186,24,3,5.9648,102.1447
108.5,1.5,38,5.9166,102.157
186,24,3,5.9355,102.109
108.5,1.5,38,5.9236,102.0992
186,24,3,5.9443,102.1073
186,24,3,6.1061,102.0957
186,24,3,6.0911,102.0985
186,24,3,6.1173,102.0898
186,24,3,6.1105,102.1121
186,24,3,6.0965,102.1014
186,24,3,6.1178,102.1181
186,24,3,6.1371,102.1048
108.5,1.5,38,6.0834,102.1038
108.5,1.5,38,6.0835,102.1038
108.5,1.5,38,3.1027,101.7404
49.5,2,NORMAL,3.0939,101.7395
41.5,1,NORMAL,3.1499,101.697
49.5,2,NORMAL,3.0939,101.7395
49.5,2,NORMAL,3.1731,101.7152
86.5,1,16,3.1731,101.715
86.5,1,16,3.1731,101.715
36,3,NORMAL,3.2183,101.6656
36,3,NORMAL,3.175,101.6818
36,3,NORMAL,3.149,101.6971
48,2,NORMAL,3.1488,101.7002
36,3,NORMAL,3.1498,101.6973
64.5,0.25,85,3.1793,101.6523
36,3,NORMAL,3.0962,101.7393
106,2,19,3.0938,101.7397
106,2,19,3.1612,101.7036
134,1.5,139,3.1622,101.6997
134,1.5,139,3.1729,101.7151
134,1.5,139,3.1719,101.6943
134,1.5,139,3.1706,101.6929
134,1.5,139,3.1708,101.694
134,1.5,139,3.1983,101.696
134,1.5,139,3.102,101.741
197,5,314,3.0928,101.7399
197,5,314,3.1061,101.7501
197,5,314,3.0796,101.7201
197,5,314,3.1724,101.7153
128,1,62,3.1499,101.6971
62,0.5,8,3.149,101.698
62,0.5,8,3.1485,101.6992
62,0.5,8,3.1628,101.7
62,0.5,8,3.1612,101.7072
62,0.5,8,3.1696,101.7113
117,2,39,3.1719,101.6942
