date,negeri,code,daerah,kawasan_banjir,latitude,longitude,kedalaman_banjir_max,day,month,year,line_check,geometry
10/5/2020,Kedah,KED,BALING,Kg. Bendang Sera,5.6915,100.9454,0.3,10,5,2020,1,POINT (100.9454 5.6915)
10/5/2020,Kedah,KED,BALING,"Kg. Banggol Derom, Bongor",5.7307,100.9042,0.3,10,5,2020,1,POINT (100.9042 5.7307)
10/5/2020,Kedah,KED,BALING,"Kg. Tandop Keling, Siong",5.7679,100.8827,0.3,10,5,2020,1,POINT (100.8827 5.7679)
10/5/2020,Kedah,KED,BALING,"Kg Siput, Siong.",5.7682,100.8915,0.3,10,5,2020,1,POINT (100.8915 5.7682)
10/5/2020,Kedah,KED,BALING,"Kg Baru, Siong",5.7882,100.8966,0.3,10,5,2020,1,POINT (100.8966 5.7882)
10/5/2020,Kedah,KED,BALING,"Kg. Chenerai Kota, Siong",5.7597,100.8976,0.3,10,5,2020,1,POINT (100.8976 5.7597)
10/5/2020,Kedah,KED,BANDAR BAHARU,Kg Keda Sg Tengas,5.2766,100.6798,0.3,10,5,2020,1,POINT (100.6798 5.2766)
11/5/2020,Kedah,KED,KUALA MUDA,Tmn Keranji,5.6266,100.5021,0.5,11,5,2020,1,POINT (100.5021 5.6266)
11/5/2020,Kedah,KED,BALING,Kg Ulu Bakai,5.5203,100.7554,0.3,11,5,2020,1,POINT (100.7554 5.5203)
11/5/2020,Kedah,KED,BALING,Kg Keda Bakai,5.5151,100.7449,0.3,11,5,2020,1,POINT (100.7449 5.5151)
11/5/2020,Kedah,KED,BALING,Kg Seputih,5.5365,100.7582,0.3,11,5,2020,1,POINT (100.7582 5.5365)
12/5/2020,Kedah,KED,BALING,"Kg. Banggol Derom, Bongor",5.7307,100.9041,0.3,12,5,2020,1,POINT (100.9041 5.7307)
12/5/2020,Kedah,KED,BALING,"Kg. Banggol Setang, Sungai Limau",5.6675,100.8615,0.3,12,5,2020,1,POINT (100.8615 5.6675)
12/5/2020,Kedah,KED,BALING,"Kg. batu Lembu, Sungai Limau",5.6698,100.8674,0.3,12,5,2020,1,POINT (100.8674 5.6698)
12/5/2020,Kedah,KED,BALING,"Kg. Bandar, Siong",5.7472,100.8947,0.3,12,5,2020,1,POINT (100.8947 5.7472)
20/5/2020,Kedah,KED,KULIM,Kg Air Merah,5.3494,100.5347,0.3,20,5,2020,1,POINT (100.5347 5.3494)
20/5/2020,Kedah,KED,KULIM,Taman Melur Indah 2,5.3425,100.5367,0.45,20,5,2020,1,POINT (100.5367 5.3425)
20/5/2020,Kedah,KED,KULIM,Taman Melur Indah,5.3448,100.5377,0.45,20,5,2020,1,POINT (100.5377 5.3448)
