latitude,longitude,region,state,postcode,geometry,flood_risk,distance,kawasan_banjir,latitude_kb,longitude_kb,kedalaman_banjir,month_kb,altitude,slope,min_distance_river
6.041368328,100.3615952,Alor Setar,Kedah,5520,POINT (11172201.672864648 673771.7005436856),False,3428.7103565142643,"Jalan KP
Ceria7, Kg
Kubur
Panjang,
Mukim
Rambai.",6.0449,100.331,0.8,10.0,7,2.945133686065674,3441.037886777273
5.967514847,100.5220197,Alor Setar,Kedah,5520,POINT (11190060.046515414 665505.0152865952),False,3873.3696865277534,Kg Charok Kudong,6.0019,100.5181,1.2,12.0,10,1.3150174617767334,1009.2173812783815
6.245895012,100.240873,Alor Setar,Kedah,5520,POINT (11158762.939033205 696671.0362043778),False,1806.087190283341,1) Pekan Changlun,6.2548,100.2544,0.3,11.0,8,1.3153610229492188,12.565038875081779
6.220673374,100.243848,Alor Setar,Kedah,5520,POINT (11159094.114518315 693846.6788433733),True,542.7861556235493,Kuala Jerlun,6.2159,100.243,0.5,11.0,4,0.0,256.3094247358076
6.241534416,100.4136215,Alor Setar,Kedah,5532,POINT (11177993.214088507 696182.7203223702),True,733.0889432909545,"Bandar
Darulaman",6.2438,100.4198,0.6,11.0,15,7.230823516845703,392.3775261267103
6.190864096,100.2536433,Alor Setar,Kedah,5532,POINT (11160184.522326482 690508.7652679892),False,3043.4871266973564,Kuala Jerlun,6.2159,100.243,0.5,11.0,0,0.0,2834.444104576518
6.211128369,100.4928889,Alor Setar,Kedah,5532,POINT (11186817.220693013 692777.8500516551),False,2938.057549352724,"Kampung
Lubuk Batu,
Mukim
Pelubang",6.2151,100.4668,0.3,10.0,35,5.624473571777344,2269.0104165012945
6.136726186,100.2519539,Alor Setar,Kedah,5532,POINT (11159996.459178736 684447.1181411184),False,3682.086033652631,"Kg. Suka
Menanti",6.1665,100.266,0.2,11.0,0,0.0,4578.641101072096
6.27521166,100.4046165,Alor Setar,Kedah,5532,POINT (11176990.782073913 699954.1300561453),True,692.9426439706612,"Kg. Gelam / Tmn Suria, Jitra",6.2745,100.4108,1.0,9.0,4,0.0,825.3601982644312
5.994191193,100.5190485,Alor Setar,Kedah,5532,POINT (11189729.29404437 668490.8652321663),True,869.3004311243424,Kg Charok Kudong,6.0019,100.5181,1.2,12.0,28,2.944903612136841,2805.8162801230237
6.079035379,100.3039174,Alor Setar,Kedah,5532,POINT (11165781.009538572 677988.3421914391),False,2069.2912097760423,"Kg. Tengku
Laksamana
Tepi Laut
Kuala Kedah",6.0914,100.2901,0.5,10.0,4,1.3151531219482422,167.6620969447111
6.039378941,100.2841199,Alor Setar,Kedah,5532,POINT (11163577.161919592 673549.0065973132),False,5255.13764872954,"Jalan KP
Ceria7, Kg
Kubur
Panjang,
Mukim
Rambai.",6.0449,100.331,0.8,10.0,0,0.0,4358.2459068154085
5.996756799,100.3304971,Alor Setar,Kedah,5534,POINT (11168739.848208012 668778.037977715),False,5389.294209110396,"Jalan KP
Ceria7, Kg
Kubur
Panjang,
Mukim
Rambai.",6.0449,100.331,0.8,10.0,0,0.0,1434.889163841963
6.020670461,100.3047578,Alor Setar,Kedah,5534,POINT (11165874.562438637 671454.8008442454),False,3986.2335134656864,"Jalan KP
Ceria7, Kg
Kubur
Panjang,
Mukim
Rambai.",6.0449,100.331,0.8,10.0,0,0.0,3688.7458259634805
6.06389133,100.418124,Alor Setar,Kedah,5534,POINT (11178494.430095805 676293.0047859472),False,5378.431226246675,Kg Titi Hj Idris,6.0763,100.4648,0.5,10.0,4,0.9326273202896118,2215.068164235172
6.062831395,100.3430259,Alor Setar,Kedah,5534,POINT (11170134.54784426 676174.3495677499),False,2412.767996932412,"Jalan KP
Ceria7, Kg
Kubur
Panjang,
Mukim
Rambai.",6.0449,100.331,0.8,10.0,2,0.0,2101.1879533051947
6.205070512,100.3822181,Alor Setar,Kedah,5534,POINT (11174497.40359133 692099.5145229661),False,1855.949360933516,"Kg Alor
Senjaya",6.1885,100.3826,0.2,11.0,3,0.0,774.5434711799832
6.130342523,100.3831053,Alor Setar,Kedah,5534,POINT (11174596.16624356 683732.400682609),True,920.3714137250332,3. Taman Malai,6.1242,100.3886,0.3,5.0,6,2.075415849685669,126.51830920395814
6.09131184,100.3404864,Alor Setar,Kedah,5534,POINT (11169851.851997392 679362.6955005415),True,595.2610277119443,"Tmn Seri Kota, Jln Kuala Kedah",6.094,100.3451,0.3,5.0,5,1.315168380737305,2128.462759490661
6.137602374,100.4551912,Alor Setar,Kedah,5534,POINT (11182620.731924936 684545.2171674799),False,5661.215866998202,Kg. Kolon,6.1661,100.4972,1.5,10.0,18,0.9274099469184875,1479.537694163144
6.091870394,100.3417489,Alor Setar,Kedah,5536,POINT (11169992.39285452 679425.2265270284),True,442.72097326786775,"Tmn Seri Kota, Jln Kuala Kedah",6.094,100.3451,0.3,5.0,5,1.854334115982056,2058.9880500994664
