nilai_hujan_max,tempoh_hujan,tempoh_ulang,kedalaman_banjir,distance
111,2,34,0.6,1314.473293
111,2,34,0.6,2265.051951
111,2,34,0.6,4091.03569
98,2,17,0.3,3560.297708
111,2,34,0.3,904.3458065
111,2,34,0.6,658.4253703
111,2,34,0.3,2068.13119
111,2,34,0.3,1535.467387
21,2,2,0.5,7168.458738
21,2,2,0.5,9636.204977
21,2,2,0.5,9706.204496
21,2,2,0.5,6255.032619
21,2,2,0.5,5040.850502
21,2,2,0.5,9142.52792
21,2,2,0.5,9167.24292
21,2,2,0.5,7126.315609
97,2,12,0.3,1091.119046
97,2,12,0.3,1428.990853
97,2,12,0.3,3354.585036
97,2,12,0.3,1910.360851
97,2,12,0.3,557.3294684
97,2,12,0.3,2597.859607
97,2,12,0.3,1390.040641
97,2,12,0.3,2779.508458
69,1,9,0.5,2942.634265
21,2,2,0.5,4178.698315
73,3,4,0.45,11296.25936
91,3,6,0.25,6671.63214
52,3,2,0.3,2012.908227
73,3,4,0.45,17927.33158
73,3,4,0.45,17352.91992
69,1,9,0.35,3427.992867
111,2,34,0.6,4345.613858
76,2,5,1,3652.490123
21,2,2,0.5,6460.989027
84.5,3,3,0.5,4435.563554
39.5,1,2,0.1,1811.091579
111,2,34,0.6,800.9277686
76,2,5,1,8277.337068
61,3,2,0.6,844.6484648
69,1,9,0.5,1564.988869
43,4,2,0.5,6807.471343
91,3,6,0.25,4373.594729
111,2,34,0.6,10167.94263
69,1,9,0.5,2569.7732
111,2,34,0.6,5636.035783
111,2,34,0.6,9133.998609
84.5,3,3,0.5,5956.007927
46,3,2,0.35,581.2355784
46,3,2,0.35,2932.628732
46,3,2,0.35,2433.241618
91,3,6,0.5,967.4482146
46,3,2,0.35,3776.745323
35,3,2,0.2,3485.199948
35,3,2,0.2,2701.249296
69,1,9,0.35,746.5648702
35,3,2,0.5,696.0487723
46,3,2,0.35,4134.299471
46,3,2,0.35,3767.285862
61,3,2,0.6,675.6874755
46,3,2,0.35,3891.923049
91,3,6,0.5,936.6827453
46,3,2,0.35,760.8867371
46,3,2,0.35,598.515943
46,3,2,0.35,3734.318589
46,3,2,0.35,2955.011647
46,3,2,0.35,2317.816993
91,3,6,0.5,984.5052294
35,3,2,0.5,1322.282335
91,3,6,0.5,1264.255337
46,3,2,0.35,3420.552326
46,3,2,0.35,640.1483396
58.5,3,2,0.3,1089.116629
66.5,3,2,0.5,11316.88763
41,3,2,0.2,2347.137932
51,3,2,1.5,3516.639405
43,3,2,0.3,2852.127307
76.5,1,10,0.3,701.1602507
43,3,2,0.6,3390.205809
100,3,15,0.3,3974.595001
50.5,3,2,0.9,1566.492757
46,3,2,0.5,4229.585725
41,3,2,0.2,4818.709498
46,3,2,0.5,1143.042024
32,1,2,1.2,3634.344205
26.5,1,2,0.3,3475.46025
55.5,3,2,1,980.2466046
51,3,2,0.3,8357.048102
43,3,2,0.6,3983.79215
145,4,33,0.3,3183.787041
10,2,2,0.3,4180.103685
51,3,2,0.3,1046.985312
145,4,33,0.3,2658.47352
48.5,3,2,0.2,1044.068636
58.5,3,2,0.3,1080.930904
92,2,5,0.5,2440.872192
66.5,3,2,0.8,11470.36793
32,1,2,1.2,2300.267688
66.5,3,2,0.8,6359.584798
41.5,3,2,0.6,2254.732409
66.5,3,2,0.8,1641.4202
66.5,3,2,0.8,4559.037543
50.5,3,2,0.9,3240.151685
41,3,2,0.2,4286.769468
145,4,33,0.3,3048.64844
66.5,3,2,0.5,8118.545651
51,3,2,0.3,8729.595118
41,3,2,0.2,6023.571124
8,3,2,0.3,2498.074902
145,4,33,0.3,3472.097674
66.5,3,2,0.8,6242.047106
145,4,33,0.3,3620.993621
55.5,3,2,1,5464.96338
66.5,3,2,0.8,8054.355621
76.5,1,10,0.3,1576.714303
55.5,3,2,1,6308.763716
10,2,2,0.3,1115.669284
36,3,2,0.6,208.1030946
41,3,2,0.2,2746.712002
66.5,3,2,0.8,5474.693483
51,3,2,1.5,3409.667241
15.5,3,2,0.3,820.4951562
66.5,3,2,0.8,6479.333427
84.5,3,3,0.5,4299.402394
66.5,3,2,0.8,4966.719309
10,2,2,0.3,4291.250676
84.5,3,3,0.5,4413.403507
76.5,1,10,0.3,1277.040091
48.5,3,2,0.2,911.6051907
76.5,1,10,0.3,319.331842
32,1,2,1.2,5032.933027
50.5,3,2,0.9,1631.922322
10,2,2,0.3,7021.391916
51,3,2,1.5,2887.672764
66.5,3,2,0.8,5917.282541
46,3,2,0.5,5254.290052
51,3,2,1.2,3808.812638
92,2,5,0.5,3678.957585
60,1,2,0.3,4935.686827
51,3,2,0.3,6375.24995
66.5,3,2,0.8,7066.552061
74.5,3,2,1,7639.564872
41,1,2,1.2,3026.562003
66.5,3,2,0.5,4091.795782
74.5,3,2,0.3,3532.120473
10,2,2,0.3,2708.461549
66.5,3,2,0.5,2163.313839
74.5,3,2,0.3,1866.608109
55.5,3,2,1,5701.543889
10,2,2,0.3,1788.686563
92,2,5,0.5,4591.401329
66.5,3,2,0.5,5182.614138
46,3,2,0.5,4307.989877
84.5,3,3,0.5,3657.541624
46,3,2,0.5,3236.869815
41,3,2,0.2,4443.153665
66.5,3,2,0.8,8031.283855
41,1,2,1.2,2567.527764
55.5,3,2,1,4908.089027
100,3,15,0.3,4392.000161
66.5,3,2,0.8,2637.01604
145,4,33,0.3,574.3033136
92,2,5,0.5,5358.391104
66.5,3,2,0.5,10146.37768
71.5,1,6,0.2,841.8820647
66.5,3,2,0.5,3070.276032
145,4,33,0.3,3250.514532
66.5,3,2,0.5,3663.999858
84.5,3,3,0.5,3084.597648
60,1,2,0.3,2990.640213
74.5,3,2,0.3,2881.604765
66.5,3,2,0.8,10268.09334
66.5,3,2,0.8,13283.30499
66.5,3,2,0.8,9533.276815
15.5,3,2,0.3,4196.642195
50.5,3,2,0.9,4347.147577
66.5,3,2,0.5,4062.826816
74.5,3,2,0.3,2746.244204
43,3,2,0.3,411.2962339
10,2,2,0.3,297.2282698
66.5,3,2,0.8,1611.576459
66.5,3,2,0.5,4883.217119
74.5,3,2,0.3,3355.033618
51,3,2,1.5,1983.58502
60,1,2,0.3,7850.117625
51,3,2,0.3,8388.319874
74.5,3,2,0.3,2250.448848
84.5,3,3,0.5,2630.146098
60,1,2,0.3,9026.858207
66.5,3,2,0.3,4648.589608
92,2,5,0.5,3700.989427
92,2,5,0.5,5730.503537
76.5,1,10,0.3,2194.801501
65.5,2,2,3,14829.32951
58.5,3,2,0.3,3119.248837
145,4,33,0.3,3784.400888
10,2,2,0.3,4747.951687
76.5,1,10,0.3,1805.212104
145,4,33,0.3,2264.806415
84.5,3,3,0.5,3513.52813
66.5,3,2,0.3,2965.846093
66.5,3,2,0.5,2660.375361
74.5,3,2,0.5,3870.2937
15.5,3,2,0.3,4783.613536
46,3,2,0.5,3557.216876
145,4,33,0.3,2885.832466
96,1,35,1.2,1289.398754
76.5,1,10,0.3,1988.805283
66.5,3,2,0.3,2492.986256
46,3,2,0.5,2477.660798
10,2,2,0.3,2036.71957
92,2,5,0.5,2323.507651
51,3,2,1.5,3976.261471
74.5,3,2,0.3,3169.132355
66.5,3,2,0.5,9620.635502
65.5,2,2,3,13691.5076
84.5,3,3,0.5,3308.659236
26.5,1,2,0.3,5063.8966
74.5,3,2,0.3,2620.237822
145,4,33,0.3,1338.912133
66.5,3,2,0.5,11381.6727
41,3,2,0.2,2737.870808
51,3,2,0.3,6071.158252
10,2,2,0.3,5366.758221
50.5,3,2,0.9,6681.273491
51,3,2,0.3,7810.56192
74.5,3,2,0.3,2655.782775
48.5,3,2,0.2,425.1139364
66.5,3,2,0.8,5892.09949
145,4,33,0.3,1280.362504
84.5,3,3,0.5,501.2824457
46,3,2,0.5,2519.376785
74.5,3,2,0.3,3626.309885
84.5,3,3,0.5,1620.56331
36,3,2,0.4,3527.671094
66.5,3,2,0.8,8576.691205
96,1,35,1.2,740.4595666
145,4,33,0.3,1842.52296
10,2,2,0.3,4460.014198
41,3,2,0.2,7361.757534
10,2,2,0.3,620.0152717
41,3,2,0.2,1435.900045
41,3,2,0.2,2859.405782
74.5,3,2,0.3,3152.391763
43,3,2,0.6,5227.514763
60,1,2,0.3,6406.691605
84.5,3,3,0.5,2802.812263
74.5,3,2,1,6386.111817
74.5,3,2,1,6902.385656
66.5,3,2,0.8,7466.21421
43,3,2,0.3,616.1025849
84.5,3,3,0.5,2184.006923
66.5,3,2,0.8,3428.710357
32,1,2,1.2,3873.369687
58.5,3,2,0.3,1806.08719
84.5,3,3,0.5,542.7861556
36,3,2,0.6,733.0889433
84.5,3,3,0.5,3043.487127
74.5,3,2,0.3,2938.057549
41,3,2,0.2,3682.086034
74.5,3,2,1,692.942644
32,1,2,1.2,869.3004311
66.5,3,2,0.5,2069.29121
66.5,3,2,0.8,5255.137649
66.5,3,2,0.8,5389.294209
66.5,3,2,0.8,3986.233513
46,3,2,0.5,5378.431226
66.5,3,2,0.8,2412.767997
41,3,2,0.2,1855.949361
100,3,15,0.3,920.3714137
76.5,1,10,0.3,595.2610277
51,3,2,1.5,5661.215867
76.5,1,10,0.3,442.7209733
66.5,3,2,0.5,9375.317948
66.5,3,2,0.8,7383.487455
66.5,3,2,0.8,5002.520623
43,3,2,0.6,4527.14844
58.5,3,2,0.3,975.2386783
43,3,2,0.6,1706.939359
36,3,2,0.6,947.4814434
51,3,2,1.5,3378.024156
74.5,3,2,1,697.7277821
